sloc1	scate2	platform	clks	clks_one_day
891	26513	pc	29	4
891	26515	m	20	2
8973	37981	app	25	3
8973	8523	app	158	22
901	14000	pc	127	18
901	26531	m	52	7
901	8717	pc	26	3
901	8719	m	7	1
910	14363	m	11	1
910	8537	app	587	83
914	29389	app	138	19
9146	102	app	103	14
9146	14354	m	5	0
9146	148	pc	3	0
927	168	m	410	58
927	212	m	183	26
927	37863	pc	6	0
927	8746	pc	45	6
93	14286	pc	234	33
933	152	m	22	3
933	36012	m	4	0
9357	34806	app	8	1
9357	8735	m	5	0
9389	23065	pc	14	2
9389	35828	app	46	6
9409	8609	pc	9	1
9422	8523	pc	6	0
9449	14286	m	17	2
946	14001	pc	8	1
946	8558	m	1	0
9472	102	m	69	9
9472	128	app	6	0
9472	8546	app	2	0
9481	128	pc	22	3
9481	8546	pc	11	1
9499	309	app	20	2
9499	8493	pc	34	4
952	8658	pc	66	9
9529	125	app	26	3
9529	710	pc	1	0
9529	97	pc	31	4
9530	35136	app	259	37
9551	111	app	212	30
9551	203	m	388	55
9617	14502	app	27	3
9656	36488	pc	9	1
967	171	app	22	3
9687	8719	pc	2	0
9704	14000	pc	210	30
9704	26531	m	1	0
9706	111	m	1	0
9706	8717	app	4	0
9717	29389	app	4	0
9717	360	app	89	12
9717	8445	app	95	13
9717	8537	m	2	0
9736	36012	m	113	16
9749	130	pc	23	3
9749	14001	pc	37	5
979	95	app	212	30
9799	199	pc	7	1
9811	8558	app	62	8
9837	95	app	2215	316
9854	133	pc	8	1
9854	14455	pc	126	18
9871	125	pc	22	3
9871	460	m	91	13
9871	8543	pc	4	0
9902	35694	m	6	0
9993	14000	pc	13	1
10015	34806	app	24	3
10015	8735	m	1	0
10039	37861	app	2	0
10039	8692	app	3	0
1005	118	m	34	4
1005	26516	pc	6	0
1005	611	pc	66	9
1005	8444	app	309	44
10115	22431	m	7	1
10115	26516	app	11	1
10115	611	app	12	1
10120	156	pc	187	26
10159	14379	m	6	0
10159	460	app	109	15
1016	35721	app	10	1
10171	95	app	2139	305
10175	14379	pc	3	0
102	128	m	684	97
102	26520	m	34	4
