sloc1	scate2	ps1	ps1a	as1	clk01	cost1	cash1	dispuser1	dispsub1	realcostuser1	realcostsub1
722	128	209	64	75	1	17.8	17.8	1	1	1	1
722	26520	24	0	0	0	0.0	0.0	0	0	0	0
722	8546	53	29	29	0	0.0	0.0	1	1	0	0
725	22431	18	0	0	0	0.0	0.0	0	0	0	0
725	8516	62	33	33	1	0.0	0.0	1	1	0	0
7303	128	45	0	0	0	0.0	0.0	0	0	0	0
7303	26520	17	0	0	0	0.0	0.0	0	0	0	0
7303	8546	21	0	0	0	0.0	0.0	0	0	0	0
7452	38117	0	0	0	0	0.0	0.0	0	0	0	0
7452	8442	14	0	0	0	0.0	0.0	0	0	0	0
7468	15520	8	0	0	0	0.0	0.0	0	0	0	0
751	171	95	0	0	0	0.0	0.0	0	0	0	0
771	133	160	112	304	6	17.23	17.23	3	3	1	1
772	8659	339	161	246	2	0.0	0.0	2	2	0	0
783	26523	137	0	0	0	0.0	0.0	0	0	0	0
79	310	2454	581	654	5	40.66	35.87	1	1	1	1
7921	8658	47	0	0	0	0.0	0.0	0	0	0	0
801	111	233	32	32	1	0.0	0.0	0	0	0	0
811	26521	31	0	0	0	0.0	0.0	0	0	0	0
821	8609	38	0	0	0	0.0	0.0	0	0	0	0
836	168	36	0	0	0	0.0	0.0	0	0	0	0
836	212	13	0	0	0	0.0	0.0	0	0	0	0
836	37865	0	0	0	0	0.0	0.0	0	0	0	0
845	8658	192	124	241	2	3.54	2.63	1	2	1	2
8481	148	12	0	0	0	0.0	0.0	0	0	0	0
8481	36008	10	0	0	0	0.0	0.0	0	0	0	0
8582	8609	24	0	0	0	0.0	0.0	0	0	0	0
8694	133	51	0	0	0	0.0	0.0	0	0	0	0
8716	309	4	0	0	0	0.0	0.0	0	0	0	0
8854	15520	16	0	0	0	0.0	0.0	0	0	0	0
891	8855	16	0	0	0	0.0	0.0	0	0	0	0
8973	14286	34	0	0	0	0.0	0.0	0	0	0	0
9123	199	3	0	0	0	0.0	0.0	0	0	0	0
9146	26523	18	0	0	0	0.0	0.0	0	0	0	0
9326	37981	2	0	0	0	0.0	0.0	0	0	0	0
933	133	58	0	0	0	0.0	0.0	0	0	0	0
9389	311	61	0	0	0	0.0	0.0	0	0	0	0
9409	14326	63	0	0	0	0.0	0.0	0	0	0	0
944	14455	573	0	0	0	0.0	0.0	0	0	0	0
944	38116	3	0	0	0	0.0	0.0	0	0	0	0
9449	14539	9	0	0	0	0.0	0.0	0	0	0	0
946	26513	5	0	0	0	0.0	0.0	0	0	0	0
9499	102	89	0	0	0	0.0	0.0	0	0	0	0
9517	156	150	0	0	0	0.0	0.0	0	0	0	0
952	8523	996	745	1136	13	44.69	29.8	1	1	0	0
9539	22431	13	0	0	0	0.0	0.0	0	0	0	0
9539	8516	64	0	0	0	0.0	0.0	0	0	0	0
9551	38115	0	0	0	0	0.0	0.0	0	0	0	0
9551	8558	25	0	0	0	0.0	0.0	0	0	0	0
9656	152	14	0	0	0	0.0	0.0	0	0	0	0
9656	314	8	0	0	0	0.0	0.0	0	0	0	0
9656	36012	8	0	0	0	0.0	0.0	0	0	0	0
968	234	404	190	819	9	0.0	0.0	4	5	0	0
9717	35691	5	0	0	0	0.0	0.0	0	0	0	0
9736	199	32	0	0	0	0.0	0.0	0	0	0	0
9749	113	2	0	0	0	0.0	0.0	0	0	0	0
9749	35984	15	0	0	0	0.0	0.0	0	0	0	0
9832	23065	13	0	0	0	0.0	0.0	0	0	0	0
9854	34807	2	0	0	0	0.0	0.0	0	0	0	0
9854	611	56	0	0	0	0.0	0.0	0	0	0	0
9909	133	18	0	0	0	0.0	0.0	0	0	0	0
10015	460	113	0	0	0	0.0	0.0	0	0	0	0
1005	360	147	0	0	0	0.0	0.0	0	0	0	0
1005	8445	72	17	17	0	5.73	5.73	0	0	0	0
10070	234	154	0	0	0	0.0	0.0	0	0	0	0
10088	343	17	0	0	0	0.0	0.0	0	0	0	0
10088	8761	4	0	0	0	0.0	0.0	0	0	0	0
10120	26522	0	0	0	0	0.0	0.0	0	0	0	0
10159	8609	19	0	0	0	0.0	0.0	0	0	0	0
1016	29389	41	0	0	0	0.0	0.0	0	0	0	0
10171	34806	8	0	0	0	0.0	0.0	0	0	0	0
10184	14255	0	0	0	0	0.0	0.0	0	0	0	0
10184	24056	3	0	0	0	0.0	0.0	0	0	0	0
10184	35694	5	0	0	0	0.0	0.0	0	0	0	0
10184	8692	1	0	0	0	0.0	0.0	0	0	0	0
10229	102	45	0	0	0	0.0	0.0	0	0	0	0
10260	34807	6	0	0	0	0.0	0.0	0	0	0	0
10260	611	45	0	0	0	0.0	0.0	0	0	0	0
10266	14326	102	0	0	0	0.0	0.0	0	0	0	0
10285	8735	13	0	0	0	0.0	0.0	0	0	0	0
10291	35721	9	0	0	0	0.0	0.0	0	0	0	0
10304	199	27	0	0	0	0.0	0.0	0	0	0	0
10362	14419	12	0	0	0	0.0	0.0	0	0	0	0
10362	771	1	0	0	0	0.0	0.0	0	0	0	0
10387	14502	12	0	0	0	0.0	0.0	0	0	0	0
10387	8444	35	0	0	0	0.0	0.0	0	0	0	0
1039	14001	95	0	0	0	0.0	0.0	0	0	0	0
10394	118	6	0	0	0	0.0	0.0	0	0	0	0
10434	609	214	169	420	8	1.7	1.14	2	2	0	0
10448	145	11	0	0	0	0.0	0.0	0	0	0	0
10461	36488	12	0	0	0	0.0	0.0	0	0	0	0
10492	8609	26	0	0	0	0.0	0.0	0	0	0	0
10506	26515	7	0	0	0	0.0	0.0	0	0	0	0
10524	14419	13	0	0	0	0.0	0.0	0	0	0	0
10524	771	0	0	0	0	0.0	0.0	0	0	0	0
10536	156	350	0	0	0	0.0	0.0	0	0	0	0
1078	199	70	0	0	0	0.0	0.0	0	0	0	0
11296	26518	1	0	0	0	0.0	0.0	0	0	0	0
12804	35828	5	0	0	0	0.0	0.0	0	0	0	0
13951	125	169	0	0	0	0.0	0.0	0	0	0	0
13951	8543	23	0	0	0	0.0	0.0	0	0	0	0
14357	38118	1	0	0	0	0.0	0.0	0	0	0	0
16	37981	9	0	0	0	0.0	0.0	0	0	0	0
18	41588	82	0	0	0	0.0	0.0	0	0	0	0
188	8659	1455	0	0	0	0.0	0.0	0	0	0	0
2032	710	63	0	0	0	0.0	0.0	0	0	0	0
2032	97	69	39	39	1	10.77	10.77	1	1	1	1
