sloc1	scate2	platform	clks_one_day
993	8558	pc	0
1	14000	pc	79
1	8717	pc	1
1005	125	m	28
1005	8543	m	0
10097	14455	app	0
10134	203	app	1
10171	118	pc	0
102	14255	pc	2
102	35694	pc	26
102	8692	pc	3
10260	609	app	1
10362	156	app	0
10461	14379	app	0
10536	203	pc	1
1057	234	app	3
1078	8442	app	2
1086	111	pc	2
1086	36011	m	0
122	35984	app	6
12291	234	app	7
12804	14286	app	0
147	152	app	0
147	314	app	1
147	8855	pc	0
158	14502	m	6
18	168	pc	139
18	207	app	11
18	212	pc	47
18	8609	m	24
188	360	pc	20
188	36488	m	8
188	8445	pc	16
2	460	pc	55
2015	14326	app	13
2015	460	pc	11
202	14502	m	1
2032	609	app	5
2037	196	pc	0
2038	186	pc	0
2039	710	app	0
2042	95	m	0
2045	8735	app	1
2048	125	app	0
2048	130	pc	0
2048	8543	app	0
2050	14455	m	0
2050	311	app	0
2052	14000	app	18
2053	8493	app	3
222	460	pc	21
2247	234	m	0
2303	130	app	0
2307	22431	app	1
2307	95	pc	3
2315	128	app	0
2315	14455	pc	0
2323	35691	app	0
2347	125	m	9
2363	460	m	20
2364	14455	app	1
2372	710	app	0
2372	97	app	0
2373	360	m	0
2378	26516	pc	0
2378	310	m	1
2378	611	pc	0
2380	8537	m	0
2381	125	app	1
2381	130	pc	0
2381	8543	app	0
2389	156	m	11
2422	310	m	3
2422	611	pc	0
2429	168	app	24
2429	212	app	2
265	36008	pc	0
265	8516	NULL	0
291	14526	pc	1
293	196	app	0
293	23087	app	0
297	156	app	3
297	8558	m	0
3	311	m	14
304	186	m	2
3163	609	pc	0
3177	8558	app	1
3184	8493	pc	0
3184	8516	m	7
319	96	app	410
3198	14000	m	7
330	310	app	12
330	35691	pc	1
3328	26516	m	0
3328	611	m	1
342	36011	pc	0
3434	125	app	10
3434	130	pc	0
3434	8543	app	0
3479	14286	app	0
355	14286	app	0
357	8537	pc	0
362	35984	pc	0
367	95	m	0
37	8558	pc	32
375	133	m	0
394	8523	m	12
399	360	app	0
4	14539	pc	0
4	35721	m	2
407	186	pc	0
409	360	m	0
414	26531	m	20
414	8735	app	6
450	35694	m	1
450	8537	app	0
483	34323	pc	4
497	35691	app	0
497	8523	pc	2
500	96	m	5
537	311	app	0
541	35691	app	2
541	8523	pc	30
556	8523	m	34
5669	37981	app	0
5756	14286	app	0
5772	14455	pc	0
5772	8546	app	0
5853	96	pc	7
5898	35691	app	0
592	196	m	0
592	23087	m	0
5942	35691	app	0
606	8558	pc	8
613	14379	app	0
615	14526	pc	0
652	96	app	28
656	609	m	2
669	171	app	0
669	26515	pc	0
669	8735	m	1
6700	203	pc	5
6770	26516	pc	0
6788	34806	pc	0
686	309	m	0
6964	14000	pc	1
698	360	m	0
700	609	m	15
722	199	app	1
726	203	app	0
740	186	pc	1
7453	14000	app	7
783	35828	app	0
79	710	pc	22
79	97	pc	4
7921	360	pc	0
801	14286	pc	0
821	128	m	0
821	8546	m	1
837	35721	m	1
845	360	pc	23
845	8445	pc	5
8481	14000	m	1
8582	311	pc	0
882	309	app	1
901	196	pc	0
910	145	app	0
