sloc1	scate2	platform	cost	dispcnt	jz_cpm
3453	14000	m	182.57	42	4346.9047619047615
3479	14286	pc	1.99	2	995.0
3479	37863	m	0.91	1	910.0
355	14286	pc	1.9	2	950.0
362	35694	app	24.19	11	2199.090909090909
362	8692	app	2.0	2	1000.0
37	14326	app	1884.14	377	4997.718832891247
375	128	m	5.4	6	900.0
375	311	pc	1.0	1	1000.0
375	8546	m	2.66	2	1330.0
394	35691	m	3.52	2	1760.0
394	611	app	146.3	14	10450.0
399	360	pc	12.33	3	4110.0
400	156	m	4.6	5	920.0
413	14502	m	24.77	17	1457.0588235294117
413	37862	pc	1.0	1	1000.0
413	8444	m	5.66	2	2830.0
414	14286	m	90.72	45	2016.0
414	8735	pc	95.68	47	2035.7446808510638
424	14526	app	40.76	28	1455.7142857142858
450	609	app	566.45	152	3726.6447368421054
450	8537	pc	2.1	2	1050.0
463	26531	m	7.11	6	1185.0
463	8735	app	11.43	8	1428.75
468	8523	app	36.34	12	3028.3333333333335
471	8493	app	53.76	17	3162.3529411764707
497	310	app	22.84	16	1427.5
502	360	m	2.61	2	1305.0
518	156	m	1205.96	197	6121.624365482234
523	37981	app	9.9	11	900.0
5334	36488	pc	0.91	1	910.0
537	311	pc	1.8	2	900.0
541	310	app	352.99	142	2485.845070422535
541	35691	pc	17.17	7	2452.8571428571427
556	35691	m	0.9	1	900.0
556	611	app	8.16	5	1632.0
5653	14286	m	1.8	2	900.0
5709	14455	m	19.48	15	1298.6666666666667
5845	14326	app	2.0	2	1000.0
606	14326	app	445.54	167	2667.9041916167666
613	14379	pc	3.6	3	1200.0
623	203	m	772.22	135	5720.148148148148
637	190	m	38.72	17	2277.6470588235293
652	96	pc	193.06	41	4708.780487804878
669	171	pc	14.89	10	1489.0
6803	34806	app	1.0	1	1000.0
6921	8516	app	45.54	35	1301.142857142857
693	611	m	4.0	2	2000.0
6964	8692	m	0.9	1	900.0
7133	156	app	232.93	101	2306.237623762376
7133	8558	m	3.24	3	1080.0
722	199	pc	5.2	5	1040.0
726	203	pc	4.0	4	1000.0
728	14286	app	2.7	3	900.0
740	102	app	551.38	139	3966.7625899280574
7453	14000	pc	46.58	16	2911.25
7468	14000	m	95.95	26	3690.3846153846152
7620	102	m	47.4	43	1102.3255813953488
771	199	app	16.5	16	1031.25
783	35828	pc	2.7	3	900.0
791	360	m	11.21	4	2802.5
7951	35721	m	0.9	1	900.0
811	8523	m	1739.65	199	8741.959798994974
882	309	pc	4.99	5	998.0
8854	14000	m	479.82	117	4101.025641025641
910	145	pc	0.9	1	900.0
910	8558	app	120.28	31	3880.0
914	35691	app	9.07	5	1814.0
914	8523	pc	273.42	32	8544.375
927	125	m	97.59	56	1742.6785714285713
93	14379	app	67.16	17	3950.5882352941176
9363	96	m	348.21	92	3784.891304347826
9444	14455	m	5.65	3	1883.3333333333333
9499	168	app	49.94	41	1218.0487804878048
9499	212	app	35.74	16	2233.75
952	710	app	6.3	7	900.0
961	125	app	14.3	10	1430.0
961	130	pc	6.63	5	1326.0
961	14379	m	1.0	1	1000.0
961	8543	app	2.71	3	903.3333333333334
968	14286	pc	1.9	2	950.0
9687	8493	pc	4.6	2	2300.0
9709	14455	pc	5.38	3	1793.3333333333333
984	168	m	2189.82	214	10232.803738317756
984	212	m	995.98	136	7323.382352941177
9871	35984	pc	0.91	1	910.0
1	8493	m	4895.34	750	6527.12
1005	96	pc	162.62	48	3387.9166666666665
1029	15520	pc	3.2	3	1066.6666666666667
10506	14000	pc	25.69	9	2854.4444444444443
1057	8558	app	20.47	16	1279.375
1078	14000	m	994.22	109	9121.284403669724
1078	15520	app	2.22	2	1110.0
1096	111	m	1.0	1	1000.0
122	190	app	501.28	71	7060.281690140845
122	23065	m	1570.89	890	1765.0449438202247
122	38117	pc	0.9	1	900.0
122	8442	pc	95.16	53	1795.4716981132076
12291	8558	app	6.44	5	1288.0
135	14326	pc	39.08	27	1447.4074074074074
147	102	app	878.66	112	7845.178571428572
158	34806	pc	300.06	80	3750.75
16	14001	pc	6.16	6	1026.6666666666667
172	14000	pc	559.22	62	9019.677419354839
