sloc1	scate2	platform	common_pos
2389	609	m	2
2392	128	m	3
2392	8546	m	1
241	171	pc	2
241	8523	app	6
265	14001	m	2
265	14363	pc	1
276	8608	m	1
296	234	pc	2
297	609	app	3
3	14539	m	1
3	8659	app	3
304	14502	m	1
3163	186	pc	1
3184	199	app	1
3209	14326	pc	1
3266	14502	m	3
3266	314	app	1
3328	156	pc	2
342	8855	app	1
342	96	pc	19
3445	8546	m	2
3453	35691	m	1
357	125	app	1
357	8543	app	2
362	8493	app	3
394	234	m	1
399	156	app	1
399	8558	m	2
4	113	app	1
4	26518	pc	1
4	35984	app	6
403	8523	app	5
408	37863	m	1
409	156	m	2
414	37981	app	4
424	168	m	14
424	212	m	1
424	8659	pc	1
428	128	m	1
450	130	app	6
463	118	app	1
471	310	pc	5
497	111	app	5
497	26516	pc	1
500	14502	app	1
502	234	pc	2
5334	460	app	2
536	14326	pc	1
541	111	app	5
541	26516	pc	1
556	234	m	1
5632	35691	pc	2
5632	8717	m	1
5653	8523	app	3
5695	14502	app	1
572	309	pc	1
5722	128	m	1
5722	8546	m	2
5898	26516	pc	1
5898	611	pc	1
592	96	app	6
5928	8735	app	2
5936	8493	app	1
5942	611	pc	1
618	14502	app	1
637	15520	m	1
656	125	m	5
669	26521	app	1
6718	8692	app	1
6718	95	pc	1
6745	8523	pc	7
6760	26517	pc	1
6788	14286	pc	1
6805	234	pc	1
686	14419	m	1
6964	8493	m	4
700	125	m	6
700	8543	m	1
710	203	app	4
710	8516	pc	3
7133	8537	app	1
722	311	pc	3
725	8493	pc	1
728	207	pc	1
7289	234	app	1
7303	311	pc	1
7468	35691	m	1
751	26531	pc	1
771	8608	m	3
776	311	m	1
79	34807	pc	1
79	36488	app	2
79	611	pc	13
791	234	pc	1
7951	168	m	1
7951	212	m	2
801	26516	m	1
821	168	pc	5
821	212	pc	7
837	35984	app	2
8398	34807	pc	1
8481	36488	pc	1
8582	168	pc	4
8582	212	pc	3
872	15520	pc	1
8760	8855	app	1
8760	96	pc	5
882	14419	app	1
882	97	pc	1
8854	34807	app	1
8854	35691	m	2
891	125	pc	8
891	186	app	1
891	8543	pc	1
891	96	m	6
8973	8735	pc	4
901	186	m	1
910	35694	app	2
910	95	pc	7
914	234	app	5
93	14001	pc	1
93	199	app	3
9472	311	m	1
9517	111	app	1
952	14286	app	6
9530	460	m	5
9551	35694	app	1
9617	186	pc	1
9656	34806	app	1
967	8735	app	1
9688	133	pc	1
9688	14455	pc	6
979	190	m	1
9811	234	pc	1
9832	14000	app	4
9837	15520	pc	4
984	26523	m	3
984	309	app	1
9854	360	app	6
9871	14000	pc	4
993	609	pc	1
10088	14000	m	7
10106	8608	app	1
1016	128	pc	5
1016	8546	pc	3
10171	15520	pc	5
10184	14455	pc	1
102	130	pc	9
10266	14526	pc	1
10285	8493	app	1
1029	36488	pc	1
1039	37863	m	1
10461	125	m	3
10485	14000	pc	2
10564	186	pc	1
1057	36008	m	1
1057	8692	app	1
1057	95	pc	6
1078	34807	app	1
1078	35691	m	1
1086	41588	pc	1
1096	22431	app	1
11296	156	pc	1
122	14000	m	12
122	15520	app	4
122	8717	m	1
12291	95	pc	4
12804	14354	m	2
12804	8523	pc	8
12804	8746	app	1
135	14455	app	5
158	26531	pc	10
16	133	m	4
16	311	app	2
172	310	app	4
18	113	m	1
18	35984	m	3
18	8442	pc	4
2	8608	m	12
202	26531	pc	8
202	8719	pc	2
2037	96	pc	2
2038	14526	pc	3
2041	15520	m	4
2043	199	m	1
2047	14363	m	1
2047	203	m	7
2049	8735	app	1
2052	36488	app	1
2053	35136	app	1
2054	14455	m	6
2054	311	app	3
2192	168	pc	1
2192	212	pc	7
222	8608	m	3
228	168	pc	6
228	212	pc	2
228	35721	m	1
2302	8493	pc	2
2307	130	app	2
2315	168	app	1
2319	128	app	2
2319	8546	app	1
2323	360	pc	2
2328	310	pc	1
2329	8608	app	1
2346	130	pc	4
2354	168	pc	6
2354	212	pc	1
2373	111	m	5
2373	8558	pc	2
2378	23087	m	1
2378	350	m	1
2380	203	m	5
2389	196	m	1
2390	8493	app	1
2393	207	app	1
2394	15520	pc	1
2398	35984	pc	1
241	14286	app	6
241	171	m	2
265	14363	m	1
265	8645	app	1
276	14326	pc	6
291	26521	app	1
296	234	m	2
297	196	app	3
297	23087	app	3
304	34806	app	4
304	8761	pc	1
3163	186	m	1
3177	8537	pc	1
3209	14326	m	1
3237	130	pc	3
3266	34806	app	1
3328	111	pc	4
3328	156	m	2
3350	710	pc	1
3350	97	pc	2
342	125	pc	12
342	186	app	4
342	8543	pc	8
342	96	m	22
3479	8523	pc	1
367	22431	app	1
367	8516	app	1
37	609	pc	13
397	14502	pc	1
4	26518	m	1
4	8442	app	4
403	14286	app	2
409	8558	pc	1
424	8659	m	1
450	203	app	4
450	8516	pc	6
463	35721	pc	1
463	8609	app	1
471	310	m	5
471	36488	pc	1
497	26516	m	1
497	8558	app	2
502	234	m	2
505	34806	pc	1
518	35694	pc	1
518	8692	pc	1
520	460	pc	1
5334	310	pc	3
536	14326	m	1
536	8608	app	1
537	35828	pc	1
541	26516	m	1
541	29389	pc	1
541	8558	app	4
5632	34807	app	1
5632	35691	m	2
5695	8855	pc	1
572	102	pc	2
572	309	m	1
5756	8523	pc	5
5772	168	app	5
5772	212	app	2
5853	26531	app	1
5898	26516	m	1
5898	360	pc	1
5898	611	m	1
592	125	app	6
592	8543	app	3
5942	29389	pc	1
5942	360	pc	2
5942	611	m	1
5958	156	pc	1
606	609	pc	14
637	14000	pc	6
637	8717	pc	1
648	360	pc	1
656	96	app	2
6718	95	m	1
6729	8493	app	2
6745	8523	m	7
6752	95	app	1
6760	14455	app	2
6788	14286	m	1
679	168	pc	1
679	212	pc	4
6805	234	m	1
693	234	pc	1
698	8558	pc	2
700	14379	pc	1
700	96	app	7
710	8516	m	4
7133	36008	pc	1
7154	35691	pc	1
722	311	m	3
725	8493	m	1
728	207	m	1
7303	311	m	1
751	14526	pc	1
751	26531	m	1
751	8735	app	1
771	14326	pc	1
79	34807	m	1
79	360	pc	9
79	611	m	16
79	8445	pc	5
791	234	m	1
811	37981	app	1
821	168	m	8
821	212	m	7
831	14455	pc	1
831	35828	app	1
837	8442	app	2
8481	36488	m	1
8582	168	m	4
8582	212	m	3
8760	125	pc	1
8760	8543	pc	1
8760	96	m	5
882	97	m	1
891	125	m	9
8973	8735	m	3
901	96	pc	6
910	95	m	6
9123	14326	pc	1
9146	34806	pc	1
927	199	pc	1
93	14001	m	1
933	14326	pc	1
9357	186	pc	1
9389	133	app	1
9389	14455	app	1
946	14419	app	1
9472	14455	pc	1
952	8735	pc	5
9529	130	pc	1
9551	234	pc	1
9617	186	m	1
9656	14502	app	1
9688	133	m	1
9688	14455	m	13
9688	311	app	1
9736	14326	pc	1
977	128	app	1
9799	35691	app	2
9811	234	m	2
9837	15520	m	5
984	102	app	1
9871	14000	m	7
993	196	pc	1
993	609	m	1
1	460	app	10
1016	128	m	4
1016	8546	m	2
10171	15520	m	5
10184	14455	m	1
10198	460	app	1
102	130	m	14
102	203	pc	18
102	41588	app	6
10229	35694	app	1
10266	14526	m	1
1029	36488	m	1
10291	360	pc	3
10387	14000	pc	3
10387	190	app	1
10461	96	app	1
10485	14000	m	3
10506	36488	app	1
10513	156	pc	1
10539	8537	app	1
1057	95	m	6
1067	14000	app	3
1086	41588	m	1
1086	609	pc	6
1096	8537	app	1
11296	156	m	1
12291	95	m	4
12804	8523	m	9
13950	128	app	1
13950	8546	app	3
158	14526	pc	8
158	26531	m	18
158	8735	app	4
172	36488	app	1
172	611	pc	13
1734	309	app	1
18	8442	m	3
188	34323	pc	5
2	14326	pc	7
202	14526	pc	11
202	26531	m	12
202	8719	m	2
202	8735	app	2
2037	125	pc	6
2037	8543	pc	3
2037	96	m	2
2038	14526	m	3
2039	8523	pc	7
2041	14000	pc	5
2041	190	app	1
2042	8493	pc	1
2047	130	app	4
2053	460	pc	9
2055	168	app	7
2055	212	app	1
2192	168	m	1
2192	212	m	7
2192	26523	pc	2
222	14326	pc	7
2248	130	pc	2
228	168	m	10
228	212	m	2
2284	8735	app	4
2292	8493	app	2
2302	8493	m	3
2303	199	app	1
2307	14363	app	1
2307	203	app	1
2315	26523	app	1
2319	311	pc	1
2323	360	m	2
2328	310	m	1
2342	199	pc	1
2346	130	m	4
2346	14363	pc	1
2346	203	pc	3
2354	168	m	6
2354	212	m	1
2354	26523	pc	1
2372	8523	pc	8
2373	156	app	7
2373	35694	pc	2
2373	8558	m	3
2380	130	app	4
2381	26520	app	1
2389	609	app	2
2392	128	app	2
2392	8546	app	2
2394	15520	m	1
2398	35984	m	1
241	8735	pc	7
265	14001	app	1
276	14326	m	6
276	8608	app	1
293	130	pc	2
3	14539	app	1
304	14502	app	2
304	8761	m	1
3163	96	pc	2
3177	8537	m	1
3237	130	m	2
3237	203	pc	7
3251	34806	pc	4
3266	14502	app	3
330	156	pc	8
3328	111	m	4
3328	8558	pc	1
3350	710	m	1
3350	97	m	1
342	125	m	12
342	8543	m	9
3445	8546	app	3
3453	35691	app	1
3479	8523	m	2
367	8493	pc	1
37	196	pc	11
37	23087	pc	10
37	609	m	27
394	234	app	1
397	14502	m	1
399	8558	app	1
403	8735	pc	3
408	37863	app	1
408	8523	pc	5
409	156	app	2
409	8558	m	2
414	207	pc	9
424	168	app	7
424	212	app	1
428	128	app	1
450	8516	m	7
455	130	pc	4
463	168	pc	8
463	212	pc	8
471	36488	m	4
5	15520	pc	1
505	14502	pc	1
505	34806	m	1
518	35694	m	1
518	8692	m	1
520	460	m	1
5334	310	m	3
537	35828	m	1
541	29389	m	1
556	234	app	1
5632	8717	app	1
5653	8735	pc	1
5695	186	pc	1
572	102	m	3
572	26523	pc	1
5722	128	app	1
5722	8546	app	1
5756	8523	m	4
5898	360	m	1
592	41588	pc	1
