sloc1	scate2	platform	clks_one_day	sloc-scate	online_price	member_price	valid_rate_new	jz_clks_one_day	predict_clks	pos_ctr	common_pos_jz	common_pos_zd	start_pos	end_pos	zd_get_clks	acp_jz	zd_cnt	zdprice
202	14286	app	445	202-14286	55.92	41.94	1.0	20.0	445.0	0.505607177187	5.0	5	6.0	20.0	20.0	4.26526785714	14.0	6.09
202	14286	m	180	202-14286	55.92	41.94	0.7	12.0	126.0	0.264612954186	10.0	5	11.0	25.0	12.0	2.545	14.0	2.18
202	14286	pc	100	202-14286	55.92	41.94	0.73	13.0	73.0	0.499286733238	9.0	5	10.0	24.0	13.0	2.23875	14.0	2.08
2038	460	app	22	2038-460	14.4	10.8	1.0	9.0	22.0	0.106918238994	5.0	1	6.0	11.0	2.0	0.9	5.0	0.36
2038	460	m	21	2038-460	14.4	10.8	0.97	6.0	20.37	0.153333333333	4.0	1	5.0	10.0	3.0	0.877142857143	5.0	0.53
2039	360	app	27	2039-360	14.4	10.8	1.0	2.0	27.0	0.216931216931	5.0	0	6.0	11.0	2.0	0.9	5.0	0.36
2039	360	m	26	2039-360	14.4	10.8	0.78	1.0	20.28	0.0537634408602	9.0	0	10.0	15.0	1.0	0.9	5.0	0.18
2039	360	pc	25	2039-360	14.4	10.8	0.32	1.0	8.0	0.244444444444	9.0	0	10.0	15.0	1.0	0.9	5.0	0.18
2041	95	app	834	2041-95	26.88	20.16	1.0	9.0	834.0	0.29635336415	1.0	1	2.0	7.0	9.0	1.0	5.0	1.8
2041	95	m	264	2041-95	26.88	20.16	0.95	6.0	250.8	0.266055045872	1.0	1	2.0	7.0	6.0	1.36685714286	5.0	1.64
2041	95	pc	12	2041-95	26.88	20.16	0.92	1.0	11.04	0.166666666667	1.0	1	2.0	7.0	1.0	1.25	5.0	0.25
2050	95	pc	10	2050-95	26.88	20.16	0.59	1.0	5.9	0.315789473684	2.0	1	3.0	8.0	1.0	1.0	5.0	0.2
2050	95	app	41	2050-95	26.88	20.16	1.0	3.0	41.0	0.284722222222	2.0	1	3.0	8.0	3.0	1.00333333333	5.0	0.6
2050	95	m	43	2050-95	26.88	20.16	0.7	4.0	30.1	0.369281045752	3.0	1	4.0	9.0	4.0	1.0	5.0	0.8
222	311	app	77	222-311	27.84	20.88	1.0	3.0	77.0	0.682656826568	2.0	7	3.0	19.0	3.0	1.11	16.0	0.21
222	311	m	33	222-311	27.84	20.88	0.76	3.0	25.08	0.448717948718	3.0	7	4.0	20.0	3.0	1.02333333333	16.0	0.19
222	311	pc	116	222-311	27.84	20.88	0.57	9.0	66.12	0.406403940887	3.0	7	4.0	20.0	9.0	1.05666666667	16.0	0.59
228	207	app	41	228-207	32.64	24.48	1.0	1.0	41.0	0.491467576792	1.0	1	2.0	7.0	1.0	1.0	5.0	0.2
228	207	pc	11	228-207	32.64	24.48	0.95	0.0	10.45	0.298701298701	1.0	1	2.0	7.0	3.0	1.0	5.0	0.6
2323	609	m	32	2323-609	7.68	5.76	1.0	0.0	32.0	0.528634361233	0.0	2	1.0	7.0	17.0		6.0	
2323	609	pc	5	2323-609	7.68	5.76	1.0	0.0	5.0	0.621621621622	0.0	2	1.0	7.0	3.0		6.0	
